Chromosome	start	end	name	strand	description
chr12	8052645	8052667	LOC106870419	-	uncharacterized LOC106870419
chr12	9137832	9137852	LOC106876759	+	DNA-dependent metalloprotease SPRTN
chr12	9817686	9817733	LOC106876752	+	E3 ubiquitin-protein ligase DCST1
chr12	9817751	9817776	LOC106876752	+	E3 ubiquitin-protein ligase DCST1
chr12	11606713	11606767	LOC106872298	-	zwei Ig domain protein zig-8
chr12	15106495	15106534	LOC106874489	-	uncharacterized LOC106874489
chr12	23487418	23487442	LOC106873023	-	uncharacterized LOC106873023
chr12	38243394	38243416	LOC128249197	-	uncharacterized LOC128249197
chr12	38276262	38276289	LOC106875872	-	40S ribosomal protein S17
chr12	42364009	42364045	LOC106883812	-	neuropeptide FF receptor 2
chr12	49045006	49045025	LOC106875368	-	neuronal acetylcholine receptor subunit alpha-10
chr12	49955573	49955594	LOC106873721	-	mortality factor 4-like protein 1
chr12	55872239	55872256	LOC106870132	+	WD repeat-containing protein 27
chr12	56096895	56096916	LOC106884393	-	DNA polymerase eta
chr12	57910121	57910141	LOC106883606	-	serum response factor-binding protein 1
chr12	57910121	57910141	LOC106883605	+	dynactin subunit 3
chr12	68340215	68340246	LOC106883001	-	cationic amino acid transporter 3
chr13	687884	687923	LOC106871433	-	brain tumor protein
chr13	6181007	6181031	LOC106869271	-	probable G-protein coupled receptor No18
chr13	8346129	8346155	LOC106876297	-	uncharacterized LOC106876297
chr13	10089170	10089193	LOC106875478	-	uncharacterized LOC106875478
chr13	18142126	18142151	LOC106879251	-	synaptojanin-1
chr13	20456417	20456432	LOC106871912	+	protocadherin-9
chr13	26582194	26582214	LOC128249282	+	uncharacterized LOC128249282
chr13	28780870	28780882	LOC106869322	+	MATH and LRR domain-containing protein PFE0570w-like
chr13	30643060	30643082	LOC106872093	-	uncharacterized LOC106872093
chr13	36139650	36139670	LOC106884173	-	inositol hexakisphosphate kinase 1
chr13	44827023	44827074	LOC106880673	-	nucleoporin p58/p45
chr13	52198643	52198667	LOC128249296	-	uncharacterized LOC128249296
chr13	53340458	53340478	LOC106867554	+	tripartite motif-containing protein 2
chr13	53467723	53467748	LOC128249247	-	uncharacterized LOC128249247
chr13	53467723	53467748	LOC106867559	+	motile sperm domain-containing protein 2
chr14	1372299	1372335	LOC128249409	+	uncharacterized LOC128249409
chr14	3065653	3065678	LOC128249399	+	protocadherin beta-6-like
chr14	3355771	3355788	LOC106870050	+	putative uncharacterized protein DDB_G0291608
chr14	3956013	3956035	LOC106870083	+	zinc finger protein 135
chr14	5718404	5718424	LOC128249452	+	U2 spliceosomal RNA
chr14	6717228	6717258	LOC106873399	+	uncharacterized LOC106873399
chr14	10653053	10653101	LOC106874842	-	myelin transcription factor 1
chr14	12655182	12655214	LOC106868928	+	death-inducer obliterator 1
chr14	13573292	13573309	LOC106871913	+	uncharacterized LOC106871913
chr14	16610716	16610736	LOC106881665	-	uncharacterized LOC106881665
chr14	16732117	16732142	LOC106881672	+	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
chr14	22410231	22410252	LOC106884042	-	probable rRNA-processing protein EBP2
chr14	24683972	24683990	LOC128249446	+	uncharacterized LOC128249446
chr14	26018348	26018377	LOC106873661	-	uncharacterized LOC106873661
chr14	26097275	26097332	LOC128249378	+	uncharacterized LOC128249378
chr14	39364930	39364945	LOC106872391	-	protocadherin beta-15
chr14	42115784	42115803	LOC128249443	+	uncharacterized LOC128249443
chr14	42608845	42608866	LOC128249438	+	uncharacterized LOC128249438
chr14	43683646	43683667	LOC128249437	-	uncharacterized LOC128249437
chr14	53692122	53692143	LOC106868555	+	fibronectin type 3 and ankyrin repeat domains 1 protein
chr14	57957914	57957935	LOC106868615	+	attractin-like protein 1
chr14	58572506	58572528	LOC106868609	-	uncharacterized LOC106868609
chr14	58840999	58841019	LOC106875540	+	protein glass
chr14	59238504	59238533	LOC106875549	+	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
chr14	59298023	59298048	LOC106875543	-	uncharacterized LOC106875543
chr15	286201	286221	LOC106873739	-	uncharacterized LOC106873739
chr15	756353	756378	LOC128249489	-	uncharacterized LOC128249489
chr15	2996573	2996595	LOC106880804	+	plexin-B2
chr15	4942239	4942262	LOC106874528	+	guanine nucleotide-binding protein G(i) subunit alpha
chr15	7554797	7554819	LOC106875059	+	synaptotagmin-9
chr15	14420023	14420039	LOC106873619	-	pseudouridylate synthase 7 homolog
chr15	20399923	20399950	LOC106869340	-	uncharacterized LOC106869340
chr15	28143053	28143076	LOC106881060	-	60S ribosomal protein L24
chr15	28143112	28143139	LOC106881060	-	60S ribosomal protein L24
chr15	28620611	28620636	LOC106874375	+	tripartite motif-containing protein 59
chr15	33318300	33318321	LOC106880616	-	uncharacterized LOC106880616
chr15	35991877	35991896	LOC106879588	+	uncharacterized LOC106879588
chr15	36514687	36514714	LOC106880269	+	SET and MYND domain-containing protein 4
chr15	40351067	40351098	LOC106871719	+	anaphase-promoting complex subunit 11
chr15	40770110	40770131	LOC106873815	-	four-jointed box protein 1
chr15	40770896	40770927	LOC106873815	-	four-jointed box protein 1
chr15	44526664	44526687	LOC106878523	+	tetraspanin-36
chr15	44601866	44601887	LOC106878464	-	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
chr15	53332849	53332872	LOC106878167	-	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
chr15	57721285	57721305	Trnaf-aaa	-	transfer RNA phenylalanine (anticodon AAA)
chr15	57722121	57722137	Trnaf-aaa	-	transfer RNA phenylalanine (anticodon AAA)
chr15	57722465	57722486	Trnaf-aaa	-	transfer RNA phenylalanine (anticodon AAA)
chr15	58086808	58086827	LOC106882513	+	peroxisomal leader peptide-processing protease
chr16	4971644	4971669	LOC106875183	+	rRNA 2'-O-methyltransferase fibrillarin-like
chr16	6059731	6059757	LOC106871265	-	LYR motif-containing protein 9
chr16	8166195	8166229	LOC128249589	-	uncharacterized LOC128249589
chr16	8920811	8920837	LOC106884154	-	uncharacterized LOC106884154
chr16	9855782	9855813	LOC106875949	+	E3 ubiquitin-protein ligase Bre1
chr16	21681499	21681526	LOC106878849	-	PAN2-PAN3 deadenylation complex subunit Pan3
chr16	23716320	23716357	LOC106868887	+	mitochondrial 2-oxodicarboxylate carrier
chr16	29772466	29772485	LOC106867788	-	sorting nexin-5
chr16	38484209	38484230	LOC128249622	+	uncharacterized LOC128249622
chr16	50011243	50011277	LOC106875868	+	copper chaperone for superoxide dismutase
chr16	50012014	50012041	LOC106875867	-	zinc finger CCHC domain-containing protein 7
chr16	51338448	51338469	LOC106876912	+	fos-related antigen 2
chr16	52551298	52551328	LOC106870456	+	serine/threonine-protein phosphatase PGAM5, mitochondrial
chr17	387576	387594	LOC106869325	-	alanine aminotransferase 2
chr17	5007495	5007528	LOC106879633	-	cytochrome c oxidase assembly factor 3, mitochondrial
chr17	5009040	5009058	LOC106879633	-	cytochrome c oxidase assembly factor 3, mitochondrial
chr17	5009084	5009111	LOC106879633	-	cytochrome c oxidase assembly factor 3, mitochondrial
chr17	5461373	5461392	LOC106868962	+	ADP-ribosylation factor-like protein 16
chr17	6777046	6777070	LOC106872488	+	A disintegrin and metalloproteinase with thrombospondin motifs 13
chr17	6831872	6831896	LOC106872487	+	NACHT and WD repeat domain-containing protein 2
chr17	7885303	7885366	LOC106874037	+	BTB/POZ domain-containing protein 2
chr17	8086523	8086555	LOC106876910	-	formin-E
chr17	10345757	10345778	LOC128249672	+	uncharacterized LOC128249672
chr17	19542660	19542681	LOC106877369	-	adenylate kinase isoenzyme 6
chr17	19586822	19586875	LOC128249680	-	uncharacterized LOC128249680
chr17	20400893	20400912	LOC128249668	+	uncharacterized LOC128249668
chr17	22413506	22413545	LOC106876817	+	homeotic protein ultrabithorax
chr17	27058160	27058186	LOC106878481	+	DNA topoisomerase 2-binding protein 1
chr17	29008708	29008730	LOC106880609	+	uncharacterized LOC106880609
chr17	41021627	41021648	LOC128249664	-	uncharacterized LOC128249664
chr17	44042801	44042826	LOC106878391	+	heat shock cognate 71 kDa protein
chr17	44042874	44042895	LOC106878391	+	heat shock cognate 71 kDa protein
chr17	44243972	44243997	LOC106878341	-	fas apoptotic inhibitory molecule 1
chr17	44243972	44243997	LOC106878313	+	uncharacterized LOC106878313
chr17	50351794	50351821	LOC106881590	+	proliferation-associated protein 2G4
chr17	50985162	50985187	LOC106874801	-	bifunctional purine biosynthesis protein ATIC
chr17	52633357	52633378	LOC106872216	-	putative uncharacterized protein DDB_G0277255
chr17	52698665	52698690	LOC128249676	+	lysosomal alpha-glucosidase-like
chr18	828945	828988	LOC106874270	-	myosin catalytic light chain LC-1, mantle muscle
chr18	952036	952062	LOC106874271	+	sideroflexin-5
chr18	1176423	1176438	LOC106881490	+	homeotic protein empty spiracles
chr18	2223823	2223848	LOC128249890	-	uncharacterized LOC128249890
chr18	3269748	3269769	LOC106872830	-	protein misato homolog 1
chr18	7272901	7272924	LOC128249961	-	5S ribosomal RNA
chr18	10870779	10870801	LOC106879111	-	disintegrin and metalloproteinase domain-containing protein 10
chr18	11064777	11064804	LOC106879110	-	uncharacterized LOC106879110
chr18	11402659	11402665	LOC106881058	-	exosome complex component RRP40
chr18	12290554	12290578	LOC106868661	-	RYamide receptor
chr18	17368556	17368583	LOC128249922	+	uncharacterized LOC128249922
chr18	18518697	18518750	LOC106878906	+	ribose-5-phosphate isomerase
chr18	18751713	18751736	LOC106869614	+	nucleolar complex protein 3 homolog
chr18	19029958	19029991	LOC106869609	+	mucin-5AC
chr18	27625180	27625209	LOC106876435	+	signal recognition particle 19 kDa protein
chr18	27678014	27678033	LOC106876446	-	uncharacterized LOC106876446
chr18	27678261	27678280	LOC106876446	-	uncharacterized LOC106876446
chr18	29702828	29702855	LOC128249879	-	uncharacterized LOC128249879
chr18	35944070	35944120	LOC106873221	-	methionyl-tRNA formyltransferase, mitochondrial
chr18	36040756	36040800	LOC106876819	-	uncharacterized LOC106876819
chr18	40600307	40600329	LOC106876979	-	Fanconi anemia core complex-associated protein 24
chr18	45898940	45898963	LOC106878419	+	dual specificity protein phosphatase 4
chr18	47200813	47200832	LOC106873192	-	unconventional myosin-Va
chr18	50276028	50276045	LOC128249861	+	uncharacterized LOC128249861
chr18	52937897	52937926	LOC106873581	-	probable G-protein coupled receptor No18
chr18	54214204	54214221	LOC106882940	-	actin-related protein 10
chr18	54242452	54242475	LOC106882939	-	MMS19 nucleotide excision repair protein homolog
chr18	55302651	55302666	LOC106881041	+	ras-related protein Rab-11B
chr19	2978094	2978112	LOC106876686	+	trimethylguanosine synthase
chr19	2981181	2981204	LOC106876687	-	metallo-beta-lactamase domain-containing protein 1
chr19	3964004	3964023	LOC106884053	+	anoctamin-4
chr19	5312608	5312627	LOC106869436	+	uncharacterized LOC106869436
chr19	6226343	6226367	LOC106878486	-	uncharacterized LOC106878486
chr19	8871653	8871683	LOC106884168	-	uncharacterized LOC106884168
chr19	22520009	22520030	LOC128250191	-	U6 spliceosomal RNA
chr19	23881313	23881337	LOC106873097	+	uncharacterized LOC106873097
chr19	30086212	30086241	LOC106877872	+	uncharacterized LOC106877872
chr19	32153456	32153500	LOC106873714	+	general transcription factor II-I repeat domain-containing protein 2-like
chr19	46116103	46116129	LOC128250173	+	U2 spliceosomal RNA
chr19	47144433	47144457	LOC106877820	+	monocarboxylate transporter 10
chr19	47751001	47751024	LOC106877015	-	kazrin
chr19	50036971	50036994	LOC106884116	+	KH domain-containing RNA-binding protein qki.L
chr19	52084511	52084539	LOC106878180	+	uncharacterized LOC106878180
chr19	52364220	52364240	LOC106878181	+	VWFA and cache domain-containing protein 1-like
chr19	53651157	53651189	LOC106875423	+	monocarboxylate transporter 13
chr20	945630	945653	LOC106867611	-	coiled-coil domain-containing protein 102A
chr20	1182917	1182948	LOC106877550	+	zinc finger protein 236
chr20	1904144	1904171	LOC106873090	-	polyunsaturated fatty acid 5-lipoxygenase
chr20	7560877	7560896	LOC106869841	-	glutathione hydrolase 1 proenzyme
chr20	7846133	7846155	LOC106869847	-	zinc finger protein 511
chr20	7846325	7846340	LOC106869847	-	zinc finger protein 511
chr20	9507929	9507953	LOC106874762	+	gamma-tubulin complex component 6
chr20	9703432	9703449	LOC106882983	+	NAD-dependent protein deacylase
chr20	9972333	9972352	LOC106882980	+	uncharacterized LOC106882980
chr20	11070649	11070671	LOC128250351	-	probable E3 ubiquitin-protein ligase bre1
chr20	11353213	11353240	Trnan-guu	-	transfer RNA asparagine (anticodon GUU)
chr20	14180938	14180983	LOC106883426	-	uncharacterized LOC106883426
chr20	15575646	15575668	LOC128250353	-	uncharacterized transporter slc-17.2-like
chr20	17789427	17789448	LOC106883421	-	ankyrin repeat and SOCS box protein 8
chr20	19141111	19141138	LOC106871231	+	uncharacterized LOC106871231
chr20	23436049	23436084	LOC106879441	-	uncharacterized LOC106879441
chr20	23437383	23437404	LOC106879441	-	uncharacterized LOC106879441
chr20	23437622	23437643	LOC106879441	-	uncharacterized LOC106879441
chr20	23647337	23647364	LOC106879454	+	oocyte zinc finger protein XlCOF19
chr20	26362994	26363016	LOC106871777	-	histone H2A-like
chr20	26407800	26407825	LOC106871775	-	N-alpha-acetyltransferase 50
chr20	37652915	37652938	LOC106875460	+	neuralized-like protein 2
chr20	37654596	37654615	LOC106875457	-	nucleoporin SEH1
chr20	39039950	39039979	LOC106873878	+	uncharacterized LOC106873878
chr20	39641841	39641865	LOC128250385	-	5S ribosomal RNA
chr20	41399637	41399664	LOC106876589	-	short-chain collagen C4
chr20	41546273	41546310	LOC106875573	+	eukaryotic translation initiation factor 2 subunit 2
chr20	42384585	42384606	LOC106881681	+	uncharacterized LOC106881681
chr20	45854842	45854868	LOC106881225	+	ATP-binding cassette subfamily G member 4
chr21	551491	551512	LOC106867296	+	vacuolar protein sorting-associated protein 8 homolog
chr21	1124744	1124773	LOC106878661	+	uncharacterized LOC106878661
chr21	1406644	1406670	LOC106880280	-	E3 ubiquitin-protein ligase listerin
chr21	1800069	1800091	LOC106877792	+	palmitoyltransferase ZDHHC12-B
chr21	3687919	3687955	LOC106874408	-	large proline-rich protein BAG6
chr21	5802273	5802309	LOC106871942	-	rhomboid-related protein 3
chr21	8810940	8810967	LOC106875616	-	uncharacterized LOC106875616
chr21	8810940	8810967	LOC106875617	+	calcium channel flower homolog
chr21	16344611	16344638	LOC106879688	-	uncharacterized LOC106879688
chr21	29415265	29415299	LOC128250489	-	U6 spliceosomal RNA
chr21	36841915	36841936	LOC106884118	-	octopamine receptor beta-2R
chr21	37189960	37189998	LOC106868788	+	UBX domain-containing protein 11
chr21	37803395	37803414	LOC128250483	+	zinc finger protein 675-like
chr21	37891258	37891285	LOC106879528	-	zinc finger protein 91
chr22	370189	370211	LOC106878718	+	uncharacterized LOC106878718
chr22	732865	732890	LOC106878716	-	transcription factor COE1
chr22	732865	732890	LOC128250534	+	uncharacterized LOC128250534
chr22	3844679	3844722	LOC106867737	+	PR domain zinc finger protein 12
chr22	7543606	7543629	LOC106869928	-	homeobox protein ceh-1
chr22	8014227	8014252	LOC106869973	+	uncharacterized LOC106869973
chr22	9796603	9796629	LOC106871401	-	homeobox protein HMX3-like
chr22	10650663	10650680	LOC106873056	+	HEAT repeat-containing protein 4
chr22	15557168	15557193	LOC106873049	+	BTB/POZ domain-containing protein 17
chr22	15557202	15557257	LOC106873049	+	BTB/POZ domain-containing protein 17
chr22	19458120	19458141	LOC106883867	+	endoplasmic reticulum-Golgi intermediate compartment protein 1
chr22	20437856	20437892	LOC106870915	-	uncharacterized LOC106870915
chr22	27905906	27905933	LOC128250528	-	uncharacterized LOC128250528
chr22	31609628	31609648	LOC106883172	-	uncharacterized LOC106883172
chr22	37099951	37099970	LOC106877121	-	26S proteasome non-ATPase regulatory subunit 4
chr22	37291849	37291872	LOC106879139	-	U7 snRNA-associated Sm-like protein LSm11
chr22	37301919	37301942	LOC128250540	+	uncharacterized LOC128250540
chr23	12364856	12364880	LOC128250603	+	uncharacterized LOC128250603
chr23	22039880	22039906	LOC106877257	-	KICSTOR complex protein ITFG2
chr23	26095282	26095305	LOC106876598	-	RNA-binding protein 8A
chr23	26575601	26575632	LOC106874484	+	bystin
chr23	31349695	31349734	LOC106870407	+	venom phosphodiesterase 2
chr23	33032192	33032211	LOC106876954	-	uncharacterized LOC106876954
chr23	33433839	33433845	LOC106875496	+	uncharacterized LOC106875496
chr23	33876294	33876314	Trnav-aac	-	transfer RNA valine (anticodon AAC)
chr23	34220748	34220773	LOC106871209	+	uncharacterized LOC106871209
chr23	34220814	34220837	LOC106871209	+	uncharacterized LOC106871209
chr23	36915194	36915215	LOC106869019	-	uncharacterized LOC106869019
chr23	36915194	36915215	LOC106869007	+	phospholipid hydroperoxide glutathione peroxidase-like
chr24	1571766	1571793	LOC106870762	+	extracellular superoxide dismutase [Cu-Zn]
chr24	1571823	1571842	LOC106870762	+	extracellular superoxide dismutase [Cu-Zn]
chr24	1963846	1963878	LOC106875892	+	uncharacterized LOC106875892
chr24	2137077	2137113	LOC106883397	-	TBC1 domain family member 25
chr24	8330307	8330329	LOC128250728	-	zinc finger protein 271-like
chr24	9995345	9995367	LOC106873361	+	carboxypeptidase E
chr24	12709012	12709044	LOC106882434	-	MAP kinase-activated protein kinase 2
chr24	15471879	15471901	LOC106882232	+	proteasome subunit beta type-7
chr24	19828984	19829007	LOC106882263	+	double-strand break repair protein MRE11
chr24	20157330	20157351	LOC106882261	-	coiled-coil domain-containing protein 73
chr24	21919175	21919194	LOC106880221	-	ubiquitin domain-containing protein UBFD1
chr24	23380347	23380366	LOC106872984	-	coactosin-like protein
chr24	30218271	30218293	LOC106877113	-	succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial-like
chr24	30221356	30221380	LOC106877111	+	uncharacterized LOC106877111
chr24	32080321	32080341	LOC106884288	-	serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta
chr24	33167151	33167175	LOC106873883	+	uncharacterized LOC106873883
chr24	33349233	33349266	LOC106873831	-	ubiquitin-conjugating enzyme E2 H
chr24	34030740	34030761	LOC106882094	-	integumentary mucin C.1-like
chr24	35602584	35602605	LOC128250704	+	uncharacterized LOC128250704
chr24	35688676	35688695	LOC128250684	-	location of vulva defective 1-like
chr24	35852399	35852420	LOC106876790	+	probable ATP-dependent RNA helicase DDX43
chr24	35929777	35929799	LOC106875001	-	exportin-2
chr24	36081723	36081754	LOC106874999	+	glutathione peroxidase-like
chr25	487359	487383	LOC106869553	+	A-kinase anchor protein 10, mitochondrial
chr25	741461	741477	LOC106871371	-	tRNA (uracil-5-)-methyltransferase homolog A
chr25	757299	757319	LOC106871369	-	N-lysine methyltransferase SETD6
chr25	816817	816838	LOC106871372	+	mitochondrial sodium/calcium exchanger protein
chr25	1184259	1184281	LOC106876049	-	nuclear pore complex protein Nup50
chr25	1545664	1545701	LOC106876052	-	P2X purinoceptor 4
chr25	3183255	3183281	LOC106875585	-	uncharacterized LOC106875585
chr25	5381935	5381958	LOC106880033	+	NADH-cytochrome b5 reductase 3
chr25	5470968	5470994	LOC106880035	+	uncharacterized LOC106880035
chr25	5689888	5689931	LOC106879254	+	uncharacterized LOC106879254
chr25	6997102	6997147	LOC106875050	-	pescadillo homolog
chr25	6998462	6998489	LOC106875050	-	pescadillo homolog
chr25	7702432	7702462	LOC106881792	-	uncharacterized LOC106881792
chr25	25861972	25861997	LOC106878844	-	SMC5-SMC6 complex localization factor protein 1
chr25	28717567	28717594	LOC106874894	-	zinc finger protein OZF
chr25	28734710	28734733	LOC128250797	-	uncharacterized LOC128250797
chr25	28734710	28734733	LOC106874892	+	uncharacterized LOC106874892
chr25	33286115	33286137	LOC106869078	+	inositol polyphosphate 5-phosphatase K
chr25	33336279	33336295	LOC106869074	+	spermidine synthase
chr25	33406965	33406987	LOC106869070	+	PC-esterase domain-containing protein 1B-like
chr25	33556307	33556334	LOC128250760	+	uncharacterized LOC128250760
chr25	33842144	33842169	LOC106869086	+	potassium voltage-gated channel subfamily C member 1
chr25	34787669	34787688	LOC128250763	-	uncharacterized LOC128250763
chr25	34809193	34809214	LOC106869065	-	Golgi SNAP receptor complex member 1
chr25	35229853	35229874	LOC106867938	-	mast cell protease 2
chr25	35282783	35282793	LOC106872874	+	putative deoxyribonuclease TATDN3
chr25	35336847	35336870	LOC106872872	+	melanotransferrin
chr26	2096565	2096582	Trnat-ugu	+	transfer RNA threonine (anticodon UGU)
chr26	2116687	2116715	LOC106883979	+	uncharacterized LOC106883979
chr26	2312727	2312749	LOC106880589	-	uncharacterized LOC106880589
chr26	2726221	2726247	LOC128250902	-	cytochrome P450 3A9-like
chr26	2911675	2911700	LOC106879338	+	cytochrome P450 3A21
chr26	2912974	2912993	LOC106879338	+	cytochrome P450 3A21
chr26	7535398	7535431	LOC106878631	+	uncharacterized LOC106878631
chr26	11196640	11196669	LOC106874850	-	N-alpha-acetyltransferase 38, NatC auxiliary subunit
chr26	13088120	13088140	LOC106872588	+	protein FAM83A
chr26	13676725	13676747	LOC106880150	+	GRB10-interacting GYF protein 2-like
chr26	13726579	13726617	LOC106880202	-	fumarate hydratase class I, aerobic-like
chr26	21802270	21802296	LOC106880672	-	protein phosphatase 1E
chr26	22653623	22653650	LOC106876512	+	uncharacterized LOC106876512
chr26	23511019	23511043	LOC106871979	+	39S ribosomal protein L44, mitochondrial
chr26	25472996	25473023	LOC106871850	-	uncharacterized LOC106871850
chr26	25474532	25474566	LOC106871850	-	uncharacterized LOC106871850
chr26	26370423	26370446	LOC106882121	+	uncharacterized LOC106882121
chr27	3232566	3232592	LOC106873120	+	vacuolar-sorting protein SNF8
chr27	4023074	4023103	LOC106879172	+	little elongation complex subunit 2
chr27	4158318	4158339	LOC106874872	+	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3
chr27	4308553	4308582	LOC106868880	+	SCO-spondin
chr27	6954955	6954989	LOC106868988	+	uncharacterized LOC106868988
chr27	7202378	7202395	LOC106868987	-	probable C-mannosyltransferase DPY19L3
chr27	7842352	7842379	LOC106881252	-	aquaporin-11
chr27	8608800	8608818	LOC106868911	-	uncharacterized LOC106868911
chr27	12834951	12835044	LOC106881776	+	anaphase-promoting complex subunit 5
chr27	14208022	14208046	Trnak-uuu	-	transfer RNA lysine (anticodon UUU)
chr27	14320101	14320122	LOC106878773	+	zinc finger protein 665
chr27	16335384	16335409	LOC106872531	-	sodium/potassium/calcium exchanger 4
chr27	18675294	18675305	LOC106883793	-	rho GTPase-activating protein 1
chr27	19231927	19231955	LOC106876811	+	thyroid transcription factor 1
chr27	20388864	20388888	LOC106867729	+	zinc finger protein 62
chr29	559221	559243	LOC106880330	+	zinc finger protein 271
chr29	980885	980924	LOC106877982	-	zinc finger protein 253-like
chr29	980885	980924	LOC128251247	-	zinc finger protein 239-like
chr29	980885	980924	LOC106877986	+	histone H4
chr29	1749214	1749241	LOC106869542	+	uncharacterized LOC106869542
chr29	3492563	3492584	LOC106879416	-	uncharacterized LOC106879416
chr29	3852390	3852410	LOC106867482	+	uncharacterized LOC106867482
chr29	4179226	4179301	LOC106876278	-	uncharacterized LOC106876278
chr29	7212307	7212332	Trnad-guc	+	transfer RNA aspartic acid (anticodon GUC)
chr29	8081394	8081417	LOC106872354	+	myosin heavy chain, striated muscle
chr29	10289645	10289676	LOC106882791	-	uncharacterized LOC106882791
chr29	11482979	11483000	LOC106868082	+	uncharacterized LOC106868082
chr29	11751491	11751511	LOC106874691	+	uncharacterized LOC106874691
chr30	862273	862292	LOC106876262	-	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3
chr30	863626	863646	LOC106876262	-	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3
chr30	1344370	1344403	LOC128251297	+	uncharacterized LOC128251297
chr30	2432084	2432103	LOC106879945	+	uncharacterized LOC106879945
chr30	2659518	2659539	LOC106878592	-	G-protein coupled receptor 143
chr30	2659518	2659539	LOC106869059	+	uncharacterized LOC106869059
chr30	2659602	2659622	LOC106878592	-	G-protein coupled receptor 143
chr30	2659602	2659622	LOC106869059	+	uncharacterized LOC106869059
chr30	2801754	2801789	Trnas-uga	+	transfer RNA serine (anticodon UGA)
chr30	2815110	2815143	LOC106879817	+	retinal-binding protein
chr30	3017749	3017770	LOC106883926	-	uncharacterized LOC106883926
chr30	4919837	4919858	LOC106871513	-	leucine-zipper-like transcriptional regulator 1
chr30	5282190	5282213	LOC106876521	+	E3 ubiquitin-protein ligase MIB2
chr30	5702280	5702307	LOC106884333	-	TBCC domain-containing protein 1
chr30	5864323	5864366	LOC128251295	-	uncharacterized LOC128251295
chr30	6929940	6929962	LOC106867646	+	NF-kappa-B inhibitor-interacting Ras-like protein 2
chr30	8036368	8036398	LOC106878264	+	dCTP pyrophosphatase 1
chr30	8487661	8487701	LOC106874209	+	zinc finger protein 665
chr30	8923737	8923818	LOC106881635	-	mucin-6-like
chr30	8923737	8923818	LOC106881868	+	inactive peptidyl-prolyl cis-trans isomerase FKBP6
chr30	8923827	8923850	LOC106881635	-	mucin-6-like
chr30	8923827	8923850	LOC106881868	+	inactive peptidyl-prolyl cis-trans isomerase FKBP6
chr30	9019264	9019288	LOC106879204	+	F-box only protein 8
chr30	9346145	9346184	LOC106869788	+	uncharacterized LOC106869788
chr30	9739733	9739767	LOC106875556	+	uncharacterized LOC106875556
chr30	9739893	9739932	LOC106875556	+	uncharacterized LOC106875556
